event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM50087,2025-05-15,2025,1,Political violence,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Identity militia,Al Shabaab,,Rebel group,Rebel group-Identity militia,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Tawakal,3.4539,46.1218,1,Radio Kulmiye,National,"On 15 May 2025, Hawadle clan militia attacked Al Shabaab and engaged them in an armed clash in Tawakal village (Cadale, Middle Shabelle). Casualties unknown.",0,,1757377219
SOM50089,2025-05-15,2025,1,Political violence,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Identity militia,Al Shabaab,,Rebel group,Rebel group-Identity militia,,706,Eastern Africa,Somalia,Hiraan,Bulo Burto,,Bulo Burto,3.8519,45.5651,2,Caasimada; Hiiraan (Somalia),National,"On 15 May 2025, overnight, Hawadle clan militia attacked Al Shabaab and engaged them in an armed clash in Xalaalaay village, near Bulo Burto town (Bulo Burto, Hiraan) and Ceel Dheer (coded separately). At least 4 militants were killed. 4 fatalities split across 2 events and coded as 2 for this event.",2,,1757377219
SOM50090,2025-05-16,2025,1,Political violence,Battles,Armed clash,Al Shabaab,,Rebel group,Military Forces of Somalia (2022-),,State forces,State forces-Rebel group,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Cadale,2.7603,46.3222,1,Al Furqaan,National,"On 16 May 2025, an IED planted by Al Shabaab exploded, targeting government security forces (SNA) convoy in the vicinity of Cadale town (Cadale, Middle Shabelle). Al Shabaab claimed to have injured at least 4 soldiers.",0,,1753971829
SOM50091,2025-05-09,2025,1,Political violence,Battles,Armed clash,Police Forces of Somalia (2022-) Southwest Special Police Forces,,State forces,Al Shabaab,,Rebel group,State forces-Rebel group,,706,Eastern Africa,Somalia,Bay,Buur Hakaba,,Leego,2.7144,44.5090,1,Radio Kulmiye,National,"On 9 May 2025, Southwest Special Police Forces attacked Al Shabaab and engaged them in an armed clash in the vicinity of Leego village (Buur Hakaba, Bay). There were no casualties.",0,,1753971829
SOM50092,2025-05-12,2025,1,Strategic developments,Strategic developments,Arrests,Military Forces of Somalia (2022-),,State forces,Civilians (Somalia),Darod-Marehan Sub-Clan Group (Somalia),Civilians,State forces-Civilians,,706,Eastern Africa,Somalia,Gedo,Garbahaarey,,Garbahaarey,3.3280,42.2199,1,Caasimada; Radio Kulmiye; Radio Risala; Shabelle Media Network,Subnational-National,"On 12 May 2025, government security forces (SNA) allied with federal government arrested more than 3 clan elders from Marehan clan in Garbahaarey town (Garbahaarey, Gedo). The elder were arrested for their support to Jubaland administration. There is active administrational dispute between Jubaland and the federal government.",0,,1757377219
SOM50094,2025-05-08,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Somalia (2022-),,State forces,Civilians (Somalia),,Civilians,State forces-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Heliwa,2.0844,45.3900,1,Undisclosed Source,Local partner-Other,"On 8 May 2025, government security forces (SNA) convoy traveling from Mogadishu to Balcad opened fire during a traffic jam caused by public vehicles on Livestock Market Road, near S. Company in Mogadishu - Heliwa (Banadir). At least 1 civilian bystander was injured.",0,,1754411191
SOM50095,2025-05-10,2025,1,Political violence,Violence against civilians,Attack,Police Forces of Somalia (2022-),,State forces,Civilians (Somalia),,Civilians,State forces-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Heliwa,2.0844,45.3900,1,Al Furqaan; Undisclosed Source,Local partner-Other,"On 10 May 2025, a police officer armed with an AK-47 shot and killed a civilian and injured another individual at the Livestock Market in Mogadishu - Heliwa (Banadir). The motive was due to unknown dispute.",1,,1754411191
SOM50096,2025-05-10,2025,1,Political violence,Violence against civilians,Attack,Al Shabaab,,Rebel group,Civilians (Somalia),Government of Somalia (2022-) Southwest Administration,Civilians,Rebel group-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Xaawo-Cabdi,2.0905,45.1766,1,Al Furqaan; Caasimada; Calamada; Undisclosed Source,Local partner-Other,"On 10 May 2025, overnight, Al Shabaab shot and killed a civilian who was a former local official in Xaawo-Cabdi village (Afgooye, Lower Shabelle). Al Shabaab claimed responsibility.",1,local administrators,1754411191
SOM50097,2025-05-11,2025,1,Political violence,Violence against civilians,Attack,Hawiye-Abgal-Cabdale Caroone Sub-Clan Militia (Somalia),,Identity militia,Civilians (Somalia),Hawiye-Abgal-Celi Sub-Clan Group (Somalia); Labor Group (Somalia),Civilians,Identity militia-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Bur-Dheere,2.8140,46.1351,2,Caasimada; Hiiraan (Somalia); Radio Dalsan; Radio Kulmiye; Radio Risala; Shabelle Media Network; Undisclosed Source,Local partner-Other,"On 11 May 2025, Abdalla Arone sub-clan militia shot and killed 2 clan elders from the Abgal Celi sub-clan in Bur-Dheere village (Cadale, Middle Shabelle). The victims were working as head of security for the local water well, and manager of a local telecommunications company. The incident is linked to a longstanding intra-clan conflict between the two groups.",2,,1757377219
SOM50098,2025-05-07,2025,1,Political violence,Violence against civilians,Attack,Hawiye-Abgal Sub-Clan Militia (Somalia),,Identity militia,Civilians (Somalia),Labor Group (Somalia); Unidentified Clan Group (Somalia),Civilians,Identity militia-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Cadale,2.7603,46.3222,1,Hiiraan (Somalia),National,"On 7 May 2025, Abgal clan militia shot and killed a civilian commercial driver in the vicinity of Cadale town (Cadale, Middle Shabelle). The motive was due to clan revenge.",1,,1757377219
